Team,Gold,Silver,Bronze
United States,2474.0,1512.0,1233.0
Soviet Union,1058.0,716.0,677.0
Germany,679.0,627.0,678.0
Italy,535.0,508.0,484.0
Great Britain,519.0,582.0,572.0
France,455.0,518.0,577.0
Sweden,451.0,476.0,507.0
Hungary,432.0,330.0,365.0
Canada,422.0,413.0,408.0
East Germany,369.0,309.0,263.0
Russia,366.0,351.0,393.0
Australia,342.0,453.0,511.0
China,308.0,325.0,268.0
Norway,299.0,330.0,281.0
Netherlands,277.0,321.0,390.0
Japan,247.0,307.0,357.0
South Korea,211.0,222.0,159.0
Finland,198.0,263.0,415.0
Denmark,168.0,223.0,162.0
Cuba,164.0,127.0,116.0
